"日/月
",1,2,3,4,5,6,7,8,9,10,11,12
2023/24,32.5,5,0,8,6.5,75,0,0.5,0,0,0,15
2023/25,0,11,22.5,0,0.5,0,7.5,0,0,0,0,0.5
2023/26,0,0,6,2,0,0,99,0,0,0,9,0
2023/27,1,0,6,0,0,0,5,3.5,1,0.5,1,0
2023/28,0,0,4,0,0,0,2,0,0,14,0,6.5
2023/29,0,--,0.5,0,0,2,0,0,0,0,0,4
2023/30,0,--,1.5,1,0.5,4.5,14.5,2,0,0,5.5,1
2023/31,0,--,1.5,--,164,--,0,17.5,--,0.5,--,0
2024/01,0,0,22.5,36.5,8,29.5,6.5,0,0,1,2.5,0
2024/02,0,0,9.5,0,8,36,73.5,0,0,21,0,0
2024/03,11.5,1.5,0.5,0,0,3,8.5,0,0,42.5,0,0
2024/04,0,0,0,6,29.5,0,0,0,0,17,0,0
2024/05,0,0,0,0,0,14,0,0,0,4,22,0
2024/06,0,0,2.5,0.5,0,7.5,4.5,0,0,0,4.5,0
2024/07,0,22.5,11,2.5,0,0,23,28,17.5,2,4.5,8.5
2024/08,0,32,0,8,0,1.5,19,0.5,3.5,42,2,9
2024/09,2,22,0,5,0,39,0,41,0,0,5.5,0.5
2024/10,1,0,0,15,0,0,5,0,0.5,0.5,6,0
2024/11,0,0,20.5,0,0,0,0.5,6.5,0,0,1,2
2024/12,0,0,5,0,33,0,13.5,0.5,0,0,9,3
2024/13,0,0,0,0,8.5,0,7.5,9.5,0,0,0.5,3
2024/14,0,0,0,0,17,2.5,0,43,15.5,0,0,0.5
2024/15,11,0,0,0,0,0,0,35,1.5,0.5,0,0
2024/16,0.5,1.5,0,0,0,54.5,0,0,2.5,1.5,4,0
2024/17,0,0,0,0,1,10,0,1.5,2,0,29,0
2024/18,0,0,0,45.5,0,24,0,11,80.5,0,29,0.5
2024/19,0,0,4.5,1.5,0,54.5,0,23.5,25,3.5,6.5,2
2024/20,1,0,0,0.5,0.5,0,0,67.5,0,8.5,6,4
2024/21,16,0,0,0,43,50.5,0,39,22.5,2.5,15,13
2024/22,33,0,0,0,8.5,0,0,0.5,189,1,3.5,0.5
2024/23,27.5,0,0,0.5,17,44,17.5,2,23.5,13.5,0,14.5
2024/24,0,0,0,61.5,2,72,222.5,10,14,101,0,7.5
2024/25,4.5,0,0,15,3,63,31,0,1,21.5,0,0
2024/26,0.5,1,0,11.5,7.5,0.5,8.5,0,2,1,8.5,1.5
2024/27,1.5,7.5,0,2,4,0,0.5,0,10,5.5,0,0.5
2024/28\,1,0,0,0.5,12,62.5,0,0,39,33.5,0,2
2024/29,2,0.5,0,0,0,2.5,0,47,10.5,8,0,0
2024/30,0,--,2,29,0,18.5,0,0,23,47.5,0,0
2024/31,0,--,22.5,--,38.5,--,78,0,--,223,--,0
2025/01,7,15.5,0,18,0,0,0,4,1,0,3.5,1.5
2025/02,12,10.5,0,0,0,0,0,17.5,0,0,22.5,0.5
2025/03,2.5,32.5,0,0,0,5.5,0,2,7,0,6,5
2025/04,0,6,42.5,0,0,11,0,0,34.5,0,7,0
2025/05,0,0,21.5,15,0,15.5,0,87.5,0,0,1,2.5
2025/06,0,0,40,7,14,3.5,1,0.5,0,0,0,0
2025/07,0,13.5,3,0,107,5,10,0,20.5,0,0,0
2025/08,0,1.5,1.5,0,0,1.5,1.5,0,0,0,0,8.5
2025/09,2.5,0.5,0,1,1,73.5,11.5,1,0.5,0,0.5,10
2025/10,2,0,0,50,33,0,4.5,14,0,0,29.5,0.5
2025/11,4,0,0,0,65.5,0,0.5,12,0,0,102,0
2025/12,0,30,0,40,0,6.5,32,0,2.5,0,4,4
2025/13,0,41,30,6,0,6.5,0,18.5,0,0,60.5,11
2025/14,0,0,1,0,0,0,0,0,0,0,0.5,0
2025/15,5.5,0,65.5,0,0,0,0,0,0,0,0,0
2025/16,1,0,12,0,0,0,5.5,0,0,0,0,0
2025/17,0,0,0,0,55,3.5,0,0,0,0,52,0
2025/18,0,0.5,1,0,32.5,2,4,10,0,0,58.5,1.5
2025/19,2,0,0,27.5,0,0,74,0,0,65.5,11.5,0
2025/20,0,2,0,8.5,11,27.5,2,1.5,0,209,0,0
2025/21,0,3.5,0,0,0,5.5,18,0,7.5,131,0.5,6
2025/22,0,0,0,0,9,0,0,0,71,165.5,0,0
2025/23,1,23,0,8.5,0,0.5,8,0,31,56.5,0,0
2025/24,0,3.5,0,3,18.5,0,15,0,39.5,99.5,0,0
2025/25,0.5,0,0,11,11,3.5,44.5,0,X,31.5,2,13
2025/26,24.5,0,0,4,13.5,0,3,0,0,11.5,0,5
2025/27,28,0,0,0,0,8.5,2,0,0,16,0,8
2025/28,0,0,2.5,23.5,5,0,5.5,0,0,48,0,5
2025/29,0,--,2.5,0,70.5,0,31,0,0,1,0,0
2025/30,0,--,23.5,0,0,0,0,0,0,0,0,11
2025/31,6,--,53,--,0,--,0,0,--,1.5,--,45.5
